EntityType,jobId,customerId,statusId,typeId,number,name,information,members,date,currency,DateStart,DateEnd,Objects,Contact,DeliveryTime,Address,City,Zip
OBJECT,75ae502a-e818-49c6-851a-c79dc4f16da4,854f96fa-dc19-4993-a191-db5f32111123,63aa64f2-c35c-464b-8c9e-eb895fba047c,42ddb23f-b0b0-4e02-ab1f-aab43e455503,30000,Automobile factory ,Inspecting and carrying out surveys of potentially dangerous buildings,"ab2e9356-d49e-40a3-913f-9e0d3a126aa3,6909a912-3641-4e54-bdbd-a3542ba90db5",,CHF,,,,,,Grundhof,Uster,9562
OBJECT,4f0716ea-09a6-44c0-a8ea-b334716a9662,b980d5ef-4411-4cc8-80bc-a5a5e1be48f5,745618b5-6a1e-4bf7-9a03-86839916a859,42ddb23f-b0b0-4e02-ab1f-aab43e455504,30001,Hospital construction,"Providing advice about construction safety matters and new building regulations
","fce85f62-6ea1-469e-972b-72ec73dad93d,0be618c9-e68b-435a-bdf4-d7f4ee6b6ba4",,CHF,,,,,,Fluh 2,Riedikon,4466
OBJECT,7a74b55b-3ed7-4678-8760-bd1fa6afdd2e,d546b62f-200d-43fd-96e1-0bb1da681483,63aa64f2-c35c-464b-8c9e-eb895fba047c,d7d9b753-1730-444e-8309-552c6a4479a3,30002,Hotel construction,"Make regular inspections of building work at various stages of completion
",1218cdcc-3d1c-41d0-b063-f34734a89b6a,,CHF,,,,,,Grabenstrasse 2,Amlikon-Bissegg,8717
OBJECT,55a7bf28-2db7-46a5-86a1-b6a84a8805c2,d546b62f-200d-43fd-96e1-0bb1da681483,745618b5-6a1e-4bf7-9a03-86839916a859,d7d9b753-1730-444e-8309-552c6a4479a4,30003,Hotel maintenance,"Monitoring the installation of services and managing their maintenance once the building is completed
","ab2e9356-d49e-40a3-913f-9e0d3a126aa3,0be618c9-e68b-435a-bdf4-d7f4ee6b6ba4",,CHF,,,,,,Chälenweg 1,Wintersingen,8500
OBJECT,541da243-095b-4b11-a212-b518a9a1f6c4,08952a0b-671e-4d15-acd6-b6dfd28b046e,745618b5-6a1e-4bf7-9a03-86839916a859,d7d9b753-1730-444e-8309-552c6a4479a5,30004,University management,"Overseeing and agreeing contracts and providers for services including security, parking, cleaning, catering, technology and so on
","1218cdcc-3d1c-41d0-b063-f34734a89b6a,0be618c9-e68b-435a-bdf4-d7f4ee6b6ba4,6909a912-3641-4e54-bdbd-a3542ba90db5",,CHF,,,,,,Tösstalstrasse 1,Schleitheim,8570
OBJECT,510b047d-e244-4a78-84e6-f1af8b7112e3,5048cd57-633f-4913-8286-6093b4caaf36,745618b5-6a1e-4bf7-9a03-86839916a859,d85bafb4-a85d-41ec-a904-029a55fc9657,30005,Heating systems management,"Ensuring that basic facilities, such as water and heating, are well-maintained
","ab2e9356-d49e-40a3-913f-9e0d3a126aa3,0be618c9-e68b-435a-bdf4-d7f4ee6b6ba4",,CHF,,,,,,Laachen 1,Oberstammheim,8610
OBJECT,2a1dd3a7-e18d-411d-ad40-8fdbcb875b17,99606b70-6b09-4c0c-9232-439002e26a70,745618b5-6a1e-4bf7-9a03-86839916a859,d85bafb4-a85d-41ec-a904-029a55fc9658,30006,Hospital regulation,"Ensuring that facilities meet government regulations and environmental, health and security standards
","fce85f62-6ea1-469e-972b-72ec73dad93d,0be618c9-e68b-435a-bdf4-d7f4ee6b6ba4,6909a912-3641-4e54-bdbd-a3542ba90db5",,CHF,,,,,,Fulauerstrasse 2 / Buch,Bertschikon,8616
OBJECT,4c67ed94-88c9-4560-9667-e6287b80773a,8833302c-1d80-41ac-a8eb-9ae5cddbcf5f,63aa64f2-c35c-464b-8c9e-eb895fba047c,d85bafb4-a85d-41ec-a904-029a55fc9659,30007,Wood factory management,Advising businesses on increasing energy efficiency and cost-effectiveness,1218cdcc-3d1c-41d0-b063-f34734a89b6a,,CHF,,,,,,Unterschneit 27,Schleitheim,8514
OBJECT,532b483e-c3e9-4127-be2d-ad169e374a73,164b6f3d-7e32-4df3-99e5-bd7eb553f194,745618b5-6a1e-4bf7-9a03-86839916a859,d85bafb4-a85d-41ec-a904-029a55fc9660,30008,Office cleaning,"Cleaning, stocking and supplying designated facility areas (dusting, sweeping, vacuuming, mopping, cleaning ceiling vents, restroom cleaning etc)","ab2e9356-d49e-40a3-913f-9e0d3a126aa3,0be618c9-e68b-435a-bdf4-d7f4ee6b6ba4",,CHF,,,,,,Riethalde,Märwil,4451
OBJECT,5c4a23b2-5d2b-43b2-89d9-2ac74659b598,53eefa56-a44b-40cd-a087-6c82b3d274dd,63aa64f2-c35c-464b-8c9e-eb895fba047c,d85bafb4-a85d-41ec-a904-029a55fc9661,30009,Supply rooms,Stock and maintain supply rooms,"1218cdcc-3d1c-41d0-b063-f34734a89b6a,6909a912-3641-4e54-bdbd-a3542ba90db5",,CHF,,,,,,Postfach,Läufelfingen,8226
